Item,English (original),Italian translation 1 (gpt),Italian translation (deepL),Italian translation 3,Chinese translation (gpt),Chinese translation (deepL),Chinese translation 3
EXT1,I am the life of the party.,Sono il centro dell'attenzione alla festa.,Sono l'anima della festa.,Sono il centro dell'attenzione alla festa.,我是派对的灵魂。,我是派对的主角。,我是派对的灵魂。
EXT2,I don't talk a lot.,Non parlo molto.,Non parlo molto.,Non parlo molto.,我不怎么说话。,我话不多。,我不怎么说话。
EXT3,I feel comfortable around people.,Mi sento a mio agio con le persone.,Mi sento a mio agio in mezzo alla gente.,Mi sento a mio agio con le persone.,我感觉在人群中很自在。,在人群中我感觉很自在。,我感觉在人群中很自在。
EXT4,I keep in the background.,Mi tengo in disparte.,Mi tengo in disparte.,Mi tengo in disparte.,我保持低调。,我一直处于幕后。,我保持低调。
EXT5,I start conversations.,Inizio conversazioni.,Inizio le conversazioni.,Inizio conversazioni.,我开始交谈。,我开始谈话。,我开始交谈。
EXT6,I have little to say.,Ho poco da dire.,Alle feste parlo con molte persone diverse.,Ho poco da dire.,我没有什么好说的。,我没什么好说的。,我没有什么好说的。
EXT7,I talk to a lot of different people at parties.,Parlo con molte persone diverse alle feste.,Parlo con molte persone diverse alle feste.,Parlo con molte persone diverse alle feste.,我在派对上和很多不同的人交谈。,在聚会上，我和很多不同的人交谈。,我在派对上和很多不同的人交谈。
EXT8,I don't like to draw attention to myself.,Non mi piace attirare l'attenzione su di me.,Non mi piace attirare l'attenzione su di me.,Non mi piace attirare l'attenzione su di me.,我不喜欢引人注意。,我不喜欢引人注意。,我不喜欢引人注意。
EXT9,I don't mind being the center of attention.,Non mi dispiace essere al centro dell'attenzione.,Non mi dispiace essere al centro dell'attenzione.,Non mi dispiace essere al centro dell'attenzione.,我不介意成为焦点。,我不介意成为众人瞩目的焦点。,我不介意成为焦点。
EXT10,I am quiet around strangers.,Sono tranquillo con gli sconosciuti.,Sono silenzioso con gli estranei.,Sono tranquillo con gli sconosciuti.,我在陌生人面前很安静。,在陌生人面前我很安静。,我在陌生人面前很安静。
EST1,I get stressed out easily.,Mi stresso facilmente.,Mi stresso facilmente.,Mi stresso facilmente.,我很容易感到压力。,我很容易感到压力。,我很容易感到压力。
EST2,I am relaxed most of the time.,Sono rilassato la maggior parte del tempo.,Sono rilassato la maggior parte del tempo.,Sono rilassato la maggior parte del tempo.,我大部分时间都很放松。,我大部分时间都很放松。,我大部分时间都很放松。
EST3,I worry about things.,Mi preoccupo delle cose.,Mi preoccupo delle cose.,Mi preoccupo delle cose.,我担心事情。,我会担心一些事情。,我担心事情。
EST4,I seldom feel blue.,Raramente mi sento triste.,Raramente mi sento triste.,Raramente mi sento triste.,我很少感到沮丧。,我很少感到忧郁。,我很少感到沮丧。
EST5,I am easily disturbed.,Sono facilmente disturbato.,Sono facilmente disturbato.,Sono facilmente disturbato.,我很容易被打扰。,我很容易被打扰。,我很容易被打扰。
EST6,I get upset easily.,Mi arrabbio facilmente.,Mi arrabbio facilmente.,Mi arrabbio facilmente.,我很容易生气。,我很容易心烦意乱。,我很容易生气。
